system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,ID,NDVI,VH,VV,VV/VH,.geo
0000000000000000004e_0,474.5,2727.5,1642.5,581,830.5,811,1360,2033,2246,2448,2531.5,2666,0.077578987,ARU-A,0.50230134,-23.26067109,-14.65324373,8.607427365080808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.005719679008326,58.88155751783283]}"
00000000000000000071_0,481.5,2685,1566.5,558,792,752.5,1367,2160.5,2410,2610,2720,2685,0.040799334,ARU-B,0.5524164,-22.16554645,-13.94318084,8.222365604072598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.006079005121975,58.8805693710203]}"
00000000000000000013_0,488,2683,1657,579,780,823,1332,2120,2354,2558,2681,2650,0.055547192533493904,ARU-C,0.5131618,-22.22968651,-14.16800327,8.061683239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.006977320406094,58.8812880232476]}"
0000000000000000003c_0,447,2415.5,1393.5,500.5,722,690.5,1303.5,2326,2616,2819,2925.5,2706.5,-0.033226986,ARU-K,0.60649663,-21.31010071,-13.53445207,7.775648643275984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.31411131604656,58.64997183758682]}"
00000000000000000052_0,408,1756.5,887.5,387,621,427,1064.5,2611,3025.5,2841,3227.5,3387.5,-0.193014876,ASV1-A-UUS,0.7386781,-16.52102453,-11.19306241,5.327962118240711,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.12996125708391,58.64817520701858]}"
00000000000000000053_0,543.5,2646.5,1507.5,642.5,925.5,785.5,1415,2660,2952.5,3165,3259,3333,-0.051868223,ASV1-B-UUS,0.60232884,-18.56707492,-12.84656232,5.7205126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.530874794104598,58.58870673520987]}"
00000000000000000030_0,415,1962,944,412,731,464,1221,3202,3727,4062,3866,3615,-0.296811594,ASV1-C-UUS,0.79496247,-17.59219361,-11.32491074,6.267282866935933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.528629005894302,58.58807791451098]}"
00000000000000000026_0,303,1381,659,331,506,299,768.5,2160,2535,2843,2762.5,2812.5,-0.307787392,ASV1-K-UUS,0.8096754,-16.64926763,-10.76855394,5.8807136878923085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.16103839163259,58.63973104334786]}"
00000000000000000069_0,506.5,2782.5,1729.5,571,815.5,795.5,1412,2069,2280.5,2521,2552,2488.5,0.072863568,ATL-A,0.5202774,-22.9075904,-14.09478698,8.812803411658395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.983621123018988,58.86314205450838]}"
0000000000000000000c_0,352,1130,544,320,462,278,725,1956,2310,2448,2508,3072,-0.325670498,ATL-B,0.79603815,-14.29562016,-8.374674115,5.920946048563314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.02467413150325,58.58466431643133]}"
