ID,Aasta,Restoration,Subsite,Y,X,Graminoids_g_0.04m2,Graminoids_tha,Herbs_g_0.04m2,Herbs_tha,Fabaceae_g_0.04m2,Fabaceae_tha,Moss_g_0.04m2,Moss_tha,Biomass_tha,Biomass_womoss_tha,Litter_g_0.04m2,Tree_cover_10m_radius,Shrub_cover_10m_radius,Herb_layer_height_1x1m_cm,Herb_cover_1x1m
ARU-A,2019,Restored,Open,58.8815983,23.0057263,3.972,0.993,0.014,0.0035,0,0,0,0,0.9965,0.9965,0.986,0,5,10,65
ARU-B,2019,Restored,Overgrown,58.8805968,23.0060814,10.133,2.53325,3.223,0.80575,0.614,0.1535,0.18,0.045,3.5375,3.4925,8.819,0,5,20,65
ARU-C,2019,Restored,Afforested,58.8813131,23.0069487,8.986,2.2465,3.075,0.76875,0,0,0.022,0.0055,3.02075,3.01525,1.921,15,10,18,40
ARU-K,2019,Not_restored,Open,58.649971,23.314138,7.857,1.96425,1.791,0.44775,0.964,0.241,0.027,0.00675,2.65975,2.653,1.47,0,15,3,45
ASV1-A-UUS,2019,Restored,Open,58.648153,24.129923,11.128,2.782,3.67,0.9175,1.563,0.39075,4.342,1.0855,5.17575,4.09025,4.236,20,40,20,90
ASV1-B-UUS,2019,Restored,Open,58.5887305,23.5308424,14.09,3.5225,0.049,0.01225,0,0,1.028,0.257,3.79175,3.53475,2.745,0,30,12,50
ASV1-C-UUS,2019,Restored,kontroll,58.5880371,23.5286412,33.98,8.495,5.944,1.486,0,0,0,0,9.981,9.981,25.3,5,45,32,80
ASV1-K-UUS,2019,Not_restored,kontroll,58.63977,23.161048,4.743,1.18575,8.209,2.05225,0.081,0.02025,0,0,3.25825,3.25825,6.062,10,70,14,75
ATL-A,2019,Not_restored,Overgrown,58.863163,22.983625,3.07,0.7675,2.581,0.64525,0,0,0,0,1.41275,1.41275,0.231,0,10,17,40
ATL-B,2019,Not_restored,Afforested,58.584682,23.024652,0,0,1.249,0.31225,0,0,0,0,0.31225,0.31225,0.298,60,75,4,15
ATL-C,2019,Not_restored,Overgrown,58.768419,22.815398,1.019,0.25475,3.121,0.78025,0,0,0,0,1.035,1.035,0.125,0,50,10,70
EER-A-UUS,2019,Restored,kontroll,58.3132,21.9089,2.322,0.5805,1.214,0.3035,0.044,0.011,0.006,0.0015,0.8965,0.895,0.187,15,80,7,35
EER-B-UUS,2019,Restored,kontroll,57.977652,21.997117,0.737,0.18425,0.351,0.08775,3.605,0.90125,0.062,0.0155,1.18875,1.17325,0.282,1,50,8,40
EER-C-UUS,2019,Restored,Overgrown,58.382991,22.737372,6.323,1.58075,0.924,0.231,0,0,0.058,0.0145,1.82625,1.81175,0.514,20,40,10,45
EER-K,2019,Not_restored,kontroll,58.795092,22.845831,0.929,0.23225,0,0,0.737,0.18425,0,0,0.4165,0.4165,0.176,10,70,10,38
HAN-A,2019,Not_restored,Overgrown,58.579252,23.2696,7.562,1.8905,1.209,0.30225,0.104,0.026,0,0,2.21875,2.21875,9.59,0,80,10,45
HAN-B,2019,Not_restored,Open,58.5375971,23.3491816,2.616,0.654,11.066,2.7665,0.122,0.0305,0,0,3.451,3.451,1.055,1,5,23,90
HAN-C,2019,Not_restored,Open,58.579382,23.27088,6.95,1.7375,0.989,0.24725,0,0,0,0,1.98475,1.98475,6.048,0,60,18,50
HEL-A-LISA,2019,Restored,kontroll,58.483978,21.946529,1.815,0.45375,2.387,0.59675,0,0,1.01,0.2525,1.303,1.0505,0.324,15,30,10,45
HEL-A-REF,2019,Not_restored,Afforested,58.613238,23.0850341,3.335,0.83375,0.071,0.01775,0,0,0.099,0.02475,0.87625,0.8515,0.081,10,30,20,70
HEL-B-LISA,2019,Restored,Open,58.446525,21.93925,6.775,1.69375,1.235,0.30875,0,0,0.668,0.167,2.1695,2.0025,0.846,0,30,5,55
HEL-B-REF,2019,Not_restored,Open,58.610773,23.091042,3.099,0.77475,0.491,0.12275,0.051,0.01275,0.041,0.01025,0.9205,0.91025,0.58,0,25,4,50
HEL-C-LISA,2019,Restored,kontroll,58.44976,21.930813,3.712,0.928,3.316,0.829,0,0,0.844,0.211,1.968,1.757,1.203,10,60,17,60
HEL-C-REF,2019,Not_restored,Overgrown,58.6712839,23.23611,0.042,0.0105,3.195,0.79875,0,0,3.314,0.8285,1.63775,0.80925,1.159,0,25,7,30
HEL-K-LISA,2019,Not_restored,Open,58.60825,23.092176,3.977,0.99425,4.786,1.1965,0,0,0,0,2.19075,2.19075,1.577,0,15,7,60
ILP-A,2019,Restored,Open,58.30212,22.642026,1.199,0.29975,2.208,0.552,0,0,0.073,0.01825,0.87,0.85175,0.483,5,5,5,25
ILP-B-UUS,2019,Restored,Overgrown,58.3007326,22.641855,3.26,0.815,2.138,0.5345,0.019,0.00475,0.538,0.1345,1.48875,1.35425,6.925,1,30,7,25
ILP-C,2019,Restored,kontroll,58.30055,22.646013,1.23,0.3075,5.438,1.3595,0,0,3.323,0.83075,2.49775,1.667,3.328,35,45,10,40
ILP-K,2019,Not_restored,kontroll,58.465636,23.240038,1.294,0.3235,5.301,1.32525,0,0,11.386,2.8465,4.49525,1.64875,0.947,10,45,5,50
KAH1-A,2019,Restored,Afforested,58.557118,23.593736,0,0,1.873,0.46825,0,0,18.108,4.527,4.99525,0.46825,16.989,75,80,12,10
KAH1-B-UUS,2019,Restored,Open,58.641074,23.513742,3.832,0.958,2.458,0.6145,0.227,0.05675,18.909,4.72725,6.3565,1.62925,2.578,20,30,6,70
KAH1-C-UUS,2019,Restored,Afforested,58.640573,23.517104,0,0,0.518,0.1295,0,0,2.799,0.69975,0.82925,0.1295,18.789,60,45,6,3
KAH1-K,2019,Not_restored,Afforested,58.6405586,23.1577264,2.122,0.5305,0.216,0.054,0,0,0,0,0.5845,0.5845,0.549,0,20,6,70
KAH2-A-UUS,2019,Restored,kontroll,58.423895,21.990297,4.805,1.20125,1.148,0.287,0.008,0.002,0.964,0.241,1.73125,1.49025,2.665,25,65,3,35
KAH2-B-UUS,2019,Restored,Open,58.2871471,21.9252142,2.61,0.6525,1.32,0.33,0,0,0,0,0.9825,0.9825,1.799,0,30,6,60
KAH2-C-UUS,2019,Restored,Afforested,58.4767887,23.2846242,0.137,0.03425,4.666,1.1665,0,0,0,0,1.20075,1.20075,0.322,10,30,10,75
KAH2-K,2019,Not_restored,kontroll,58.6668,23.2042,1.161,0.29025,3.509,0.87725,0.172,0.043,0.05,0.0125,1.223,1.2105,2.233,5,5,4,50
KAS-A,2019,Restored,Open,58.867939,23.036216,3.791,0.94775,1.738,0.4345,1.489,0.37225,0,0,1.7545,1.7545,1.112,10,40,19,75
KAS-B,2019,Restored,Overgrown,58.868128,23.036068,3.487,0.87175,2.127,0.53175,0,0,0.029,0.00725,1.41075,1.4035,0.546,30,50,18,50
KAS-C-UUS2,2019,Restored,Afforested,58.867287,23.035971,2.129,0.53225,0.311,0.07775,0,0,0.092,0.023,0.633,0.61,0.962,50,50,13,10
KAS-K,2019,Not_restored,Overgrown,58.650054,23.313345,2.142,0.5355,5.266,1.3165,0.429,0.10725,0.101,0.02525,1.9845,1.95925,1.637,0,15,8,70
KOG-A,2019,Restored,Open,58.31879,22.306556,3.328,0.832,6.674,1.6685,0.032,0.008,2.341,0.58525,3.09375,2.5085,3.306,13,45,3,40
KOG-B,2019,Restored,Open,58.225494,22.685017,5.986,1.4965,3.327,0.83175,0,0,4.034,1.0085,3.33675,2.32825,6.278,0,30,5,45
KOG-C-UUS,2019,Restored,kontroll,58.243252,22.674132,13.372,3.343,2.915,0.72875,0.294,0.0735,2.256,0.564,4.70925,4.14525,8.974,25,65,7,75
KOG-K,2019,Not_restored,kontroll,58.545899,23.387784,1.164,0.291,1.452,0.363,0,0,0.695,0.17375,0.82775,0.654,0.36,8,70,10,50
KOR-A,2019,Restored,Overgrown,58.4219,21.994946,1.421,0.35525,5.55,1.3875,0.125,0.03125,0,0,1.774,1.774,0.514,0,20,15,35
KOR-B-UUS,2019,Restored,kontroll,58.389345,22.744042,0.458,0.1145,3.753,0.93825,0,0,0.015,0.00375,1.0565,1.05275,0.345,15,20,5,30
KOR-C,2019,Restored,Open,58.421613,21.993142,3.195,0.79875,0.22,0.055,0,0,0,0,0.85375,0.85375,0.01,0,8,1,25
